,DET1.DIT,DET1.NDIT,DET1.NDITSKIP,DET1.PERIOD,DET1.TDELAY,DET1.WIN.MTCS.LIST,DET1.WIN.MTCW.LIST,DET1.WIN.NCOL,DET1.WIN.NROW,DET2.DIT,DET2.NDIT,DET2.NDITSKIP,DET2.PERIOD,DET2.TDELAY,DET2.WIN.MTCS.LIST,DET2.WIN.MTCW.LIST,DET2.WIN.NCOL,DET2.WIN.NROW,INS.SFL.NAME,INS.SFN.NAME,SEQ.LAMP.COOLDOWN
1274,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1275,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1281,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1282,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1318,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1319,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1361,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1362,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1436,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1437,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1485,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1486,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1515,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1516,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1558,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1559,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1625,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1626,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1640,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1641,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1676,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1677,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1704,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1705,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1748,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1749,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1811,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1812,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1864,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1865,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1883,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1884,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1946,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1947,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1959,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1960,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1962,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
1963,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2017,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2018,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2090,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2091,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2160,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2161,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2194,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2195,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2224,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2225,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2233,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2234,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2248,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2249,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2320,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2321,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2355,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2356,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2364,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2365,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2379,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2380,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2386,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2387,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2393,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2394,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2409,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2410,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2443,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2444,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2508,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2509,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2577,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2578,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2582,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2583,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2632,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2633,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2715,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2716,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2793,0.1,128.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,0.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
2794,0.1,0.0,1.0,0.2,0.0,1.0,2048.0,1.0,2.0,0.01,128.0,1.0,0.2,0.0,1.0,1024.0,1.0,3.0,1.0,1.5,120.0
