,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NDIT,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NDIT,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME
879,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
880,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
900,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
901,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
902,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
951,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
952,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
953,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1007,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1008,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1009,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1020,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1021,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1022,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1026,0.0,512.0,512.0,0.1,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.075,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1027,0.0,512.0,512.0,0.1,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.075,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1028,0.0,512.0,512.0,0.1,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.075,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1029,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1030,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1031,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1032,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1033,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1034,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1038,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1039,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1040,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1045,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1046,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
1049,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
1050,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
